diff,top_level_label
"- if 4 * a * b < (c - a - b) ** 2:
+ if 4 * a * b < (c - a - b) ** 2 and c > a + b:",control_flow
"- print(""safe"") if s>=w else print(""unsafe"")
+ print(""safe"") if s>w else print(""unsafe"")",expression
"- 		must_do_a+=int(dist/2)
+ 		must_do_a+=int((dist+1)/2)",call
"- print(like2017)
- ",call
"-     print(ans[r] - ans[l])
+     print(ans[r+1] - ans[l])",expression
"-     pair = (B - A + 1) % 2
+     pair = (B - A + 1) // 2 % 2",assignment
"- t = input().sprit()
+ t = input()",call
"- print(math.ceil(n-1)/(k-1))
+ print(math.ceil((n-1)/(k-1)))",call
"-     print( min (a//b ,c))
+     print( min (b//a ,c))",expression
"- avg = math.ceil(sum(X) / len(X))
+ avg = round(sum(X) / len(X))",assignment
"-     next_nodes = [m for m in edge_dict[node] if not visited[m]]
+     next_nodes = [m for m in edge_dict[node] if not visited[m - 1]]",assignment
"- A, B = map(int, input())
+ A, B = map(int, input().split())",call
-     print(a),call
"-             x+=x
+             x+=i+1",expression
"- print('AC' if (s[0]=='A') and ('C' in s[2:-1]) and all(i.islower for i in s if not i in ['A','C']) and (s.count('A')==s.count('C')==1) else 'WA')
+ print('AC' if (s[0]=='A') and ('C' in s[2:-1]) and all(i.islower() for i in s if not i in ['A','C']) and (s.count('A')==s.count('C')==1) else 'WA')",call
"- 		print(D)
+ 		print(""D"")
- 		print(H)
+ 		print(""H"")",call
"- na=sorted(a)
+ na=sorted(a,reverse=True)",call
"+         a = 0
+     ",assignment
"- if A + B % 2 == 1:
+ if (A + B) % 2 == 1:",control_flow
"- 	c = check(s1) * check(s2)
+ 	c = check(s1) * check(s2) * check(S)",assignment
"- out = int(np.ceil(N / (2 *D)))
+ out = int(np.ceil(N / (2 *D + 1)))",assignment
"-     print(i)
+     print(i+1)",expression
"-       d[key]=v
+       d[key]+=v",assignment
"+ #162a
-     print(top_keta)
+     #print(top_keta)",call
"-     print('Case %d: %d' % (i, x))
+     print('Case %d: %d' % (i+1, x))",expression
"- taxi = n*b
+ taxi = b",expression
"- print(A)
+ #print(A)",call
- print(ans),call
"- S = str(S)
- 
+ S = """".join(S)
+  ",assignment
"- if a + b >= c:
+ if a + b >= c and a <= c:",control_flow
"-   print(max(A, B)*2)
+   print(max(A, B)*2-1)",expression
"- theta_2=math.pi/30
+ theta_2=m*(math.pi/30)",assignment
"- for i in range(36):
+ for i in range(1,36):
-   ans += (n // (5 ** i))
+   ans += (n // (2 * 5 ** i))",call
"- n=int(input())
+ n = int(input())
- h=list(map(int,input().split()))
+ h = list(map(int, input().split()))
- ans=0
+ ans = 0
- cnt=0
+ cnt = 0
-         ans=max(ans,cnt)
+         ans = max(ans, cnt)
+         cnt = 0
- print(max(ans,cnt))
+ print(max(ans, cnt))",assignment
"- s = list(input().split())
+ s = list(input())",call
"- if n>=k:
+ if k >1:",control_flow
"-             print(card_type + str(card_num))
+             print(card_type + "" "" + str(card_num))",expression
"- import sympy
-     s = readline()
+     s = readline().rstrip()",call
"-     ans += i+15*(a+1)
+     ans += i+15*(a)",expression
"+         print(res)
-         return res
+         return",call
"- print(nlis)
+ #print(nlis)",call
"- 
+ print(colors)
- ",call
"- a,b,i=0,-1,0
+ a,b,i=0,1,0",expression
"- 
+         if both >= 2:
-         ans += both - 1
+             ans += both - 1",control_flow
"-     has_snack += A
+     has_snack |= A",expression
"- if palindrome(A) & palindrome(B):
+ if palindrome(kaibun) & palindrome(A) & palindrome(B):",control_flow
"- b = S[K]
+ b = S[K - 1]",assignment
"- print(S.count(1))
+ print(S.count(""1""))",call
"- A=list(map(int,input()))
+ A=list(map(int,input().split()))",call
"- s = 3 * r * r * r
+ s = 3 * r * r",expression
"- for i in range(A):
+ for i in range(2,A):",call
"- print(d)
+ print(c-d)",expression
- print(ac_list),call
"-     print(like_2017[r+1]-like_2017[l-1])
+     print(like_2017[r]-like_2017[l-1])",expression
"- T = [w + b for w, b in zip(W, B)]
+ T = [w + b - 1 for w, b in zip(W, B)]",assignment
"- s=s[:1]
+ s=s[:-1]",expression
"+             
+             
- if ""a"" and ""b"" and ""c"" in s:
+ if ""a"" in s and ""b"" in s and ""c"" in s:",control_flow
"-         print(a)
+ ",call
-     print(b100),call
"-         print(""Yes"")",call
"-   if h<k:
+   if i>=k:
+   ",control_flow
"- 
- print (li)",call
"- a =list( map(int, input.split()) )
+ a =list( map(int, input().split()) )
+   ",call
+ fin = 0,assignment
-         print(l),call
"-   ans[i] += j
+   ans[i-1] += j
-     
+ ",expression
"- for i in range(n-1):
+ for i in range(n):",expression
- print(sum),call
"- 
+  
- def func(h,ans):
+ def func(h,ans):  
-   ans += 1
-   
-     return ans
+     return ans+1",expression
"- print(B)
+ #print(B)",call
"- for i in range(N+1):
+ for i in range(N):",expression
"-     if b not in d.keys(): continue
+     if b not in d.keys():
+         print(ans)
+         continue",call
"-     for t in L[1:N]:
+     for t in L[1:N+1]:
+ ",expression
"-         print(-1)
+         total = -1",call
"- N=int(input().split())
+ N=int(input())",call
"-   print(ab)
+   ",call
"- 			print(left)
+ 			print(left + '=7')",expression
"+ # 2重ループにすると楽に書けるが計算量が10^10になり厳しいので、
+ # min_i[i] = (x[0]～x[i]の中での最小値) という配列をつくった
- 
- for i in range(1,n-1):
+ for i in range(1,n):
+ 
- #  if x[i-1]>=x[i]:
- #    count=count+1
-     
- #if min(x)==x[n-1]:
- #  count=count+1",expression
"- if (b - a) % 2:
+ if (b - a) % 2 == 0:",control_flow
"- if y % 2 == 1 or y > x * 4:
+ if y % 2 == 1 or y > x * 4 or y < x * 2:",control_flow
"-     p, s = t.split
+     p, s = t.split()",call
+ print(outPut2),call
-     print(i),call
+ print(ans),call
"-     A = 13
+     A += 13
-     B = 13
+     B += 13",assignment
"- if a.sort() == [5,5,7]:print(""YES"")
+ if a == [5,5,7]:print(""YES"")",call
"-             print(cur)
+             print(cur + 1)
-         
+ ",expression
"+ 
+ print(cnt)",call
"- print(attack)
+ ",call
"-     else:
-         break",control_flow
- print(s),call
+ a = sorted(a),assignment
"-     ans(""bust"")
+     ans=""bust""
-     ans(""win"")
+     ans=""win""",call
"- print(i)
+ print(i-1)",expression
"-     for j in range(i,n+1):
+     for j in range(n+1-i):",call
"- if b - a <= 2*k:
+ if b+1 - a <= 2*k:",control_flow
+ a.sort(),call
+     print(x),call
"-   u=(u+i*d%2019)
+   u=(u+(i*d)%2019)%2019",assignment
"- print(new_div)
+ ",call
"- print(x,y)
+ ",call
+ print(ans),call
"- a,b = map(int,input())
+ a,b = map(int,input().split())",call
"-     if A[i] & 2 == 1:
+     if A[i] % 2 == 1:",control_flow
"-     print(K-A,B)
+     print(A-K,B)",expression
"-     r = max(r1, r2) + min(h)
+     r = max(r1, r2)",expression
"-     print(100*(10-n[0]))
+     print(100*(10-n[0])+n[1])",expression
"- 
- print(dis_list)",call
"- print(CB)
+ ",call
"-     print(capable)
+     # print(capable)",call
"- 
+     
-     tot-=ra[i]
+     tot-=10-ra[i]",expression
"-     if M%m == 0 and m <= M//N and Max < m:
+     if M%m == 0 and m <= M//N :
+         if Max < m:
-         Max = m
+             Max = m
-         if M//m <= M//N and Max <M//m :
+         if M//m <= M//N and Max < M//m :",control_flow
- print(l),call
"- flag
+ flag = 0
-       flag = 1
+       flag =  1
+       break
+   flag = 0",control_flow
- print(f),call
"- for i in range(N-1):
+ for i in range(N):",expression
-     print(a),call
"- print(num[input])
+ print(num[input - 1])",expression
+ A = sorted(A),assignment
"-     if re.search('##', road[a:]) is None:
+     if re.search('##', road[a:d]) is None:
-     if re.search('##', road[a:]) is None and re.search('\.\.\.', road[b:]) is not None:
+     if re.search('##', road[a:]) is None and re.search('\.\.\.', road[b-2:d+1]) is not None:",control_flow
"-     t=(w[i-1])+(e[n]-e[i+1])
+     t=(w[i])+(e[n]-e[i+1])",expression
"- print(a+b if b%a==0 else a-b)
+ print(a+b if b%a==0 else b-a)",expression
"-             aup[i] = d // 2
+             aup[i] = d // 2 + d % 2",assignment
"- print(len(set([i for i in input()])))
+ print(len(set([i for i in input().split()])))",call
+             exit(),call
"+   exit()
+   exit()",call
"- c = int(a*b)//1000
+ c = (int(a)*b)//1000",call
"- for i in range(a+1, b):
+ for i in range(a, b+1):",expression
"- print(a,b)    
+   ",call
"- for i in range(n-1):
+ for i in range(n):
+ ",expression
"- if a <= x or x <= a+b:
+ if a <= x and x <= a+b:",control_flow
"- l = list(map(input().split()))
+ l = list(map(int, input().split()))",call
+   exit(),call
"-     h.sort
+     h.sort()",call
"- from bisect import bisect_right
+ from bisect import bisect_left",identifier
-     print(i),call
"-     
+   a = b
-     
-     
-     ",assignment
"-     ans += b[a[i]]
+     ans += b[a[i] - 1]",expression
-     print(li_),call
-     print(i),call
- print(l),call
"-         print(start,j)",call
"- ABS.sort(key=lambda x: x[2])
+ ABS.sort(key=lambda x: x[2], reverse=True)",call
"-     print(N)
+     # print(N)",call
"- if s==3:print('Yes')
+   if s==3:
+       print('Yes')
+       break",control_flow
"- if check():
+ if check(a):",control_flow
"- mod=(k-first+1)%cycle
+ mod=(k-first)%cycle
- ans=arr.index(first+mod-1)
+ ans=arr.index(first+mod)",expression
"- for i in range(n-1):
+ for i in range(1, n-1):",call
"-     dist=n-(a+b-n)
+     dist=n-(a+n-b)",expression
"-     for i in range(1, N):
+     for i in range(N - 1):",call
"- elif a == b or a == c:
+ elif a == b or a == c or b == c:",control_flow
"-         print(i)
+         print(i+1)",expression
"- B = {}
+ B = set()",call
"- lim = min([N, K])
+ lim = min(N, K)
-     elems = sorted(D[:a] + D[-b:])
+     elems = sorted(D[:a] + D[N-b:])",call
"- Ansn = int(N / (A + B) * A)
+ Ansn = int(N / (A + B)) * A",call
"- water = max(c - a - b, 0)
+ water = max(c - (a - b), 0)",call
"-     print((N-2)*(B-A+4-N)+1)
+     print((N-2)*(B-A)+1)",expression
"- money = A+B*2
+ money = A+B",expression
- print(w),call
"- tmp=0
+ tmp=l[0]
- for i in range(1,n):
+ for i in range(n):",call
"-   print(y//z)
+   print(y//z+1)",expression
"-         check[j] = 1
+         check[j-1] = 1",assignment
"- print(-(-data[0]//min(data[1:])+4))
+ print(-(-data[0]//min(data[1:]))+4)",call
"- print(mm)
+ #print(mm)",call
"+ a = 1
+ print(a)
- print(a)",assignment
"-     print(solve)
+     print(solve(S))
- ",call
"-         if (h, w) in d:
+         if (h, w) not in d:",control_flow
"-     id = table[x][i]
+     id = table[x][i]+1
- ans += id+1
+ ans += id",expression
- print(A_B),call
"-     S.append([s])
+     S.append(s)",call
-     print(price),call
"- k_s = set(list(s[0::2]))#奇数
+ k_s = set(list(s[0::2]))
- g_s = set(list(s[1::2]))#偶数
+ g_s = set(list(s[1::2]))
- 
- 
- if {""R"",""U"",""D""} >= k_s or {""L"",""U"",""D""} >= g_s:
+ if {""R"",""U"",""D""} >= k_s and {""L"",""U"",""D""} >= g_s:
- ",control_flow
"- print(like_num)
+ ",call
"- U = S+T
+ U = T+S",expression
"-     ans.append(b - i)
+     ans.append(b - i) 
- print(ans)  ",call
"-         print(median_left) if i <= median_left else print(median_right)
+         print(median_left) if i < median_left else print(median_right)",expression
+         exit(),call
"- s.lower()
+ s=s.lower()",assignment
"- print(int(arr[0]))
+ print(arr[0])",call
"- c_dash = sorted(c)
+ c_dash = sorted(c,reverse=True)",call
"- 
- print(l)",call
- print(a),call
"-  
+ 
- 	print(ARC)
+     print(""ARC"")
-   	print(ABC)
+     print(""ABC"")",call
+     exit(),call
"- elif 'C' in S[2:len(S)-1]:
+ elif 'C' not in S[2:len(S)-1]:
+     flag = False
-     s2 = S.replace('C', '', 1)
+ s2 = S.replace('C', '', 1)
-     if 'C' in s2:
+ if 'C' in s2:
-         flag = False
+     flag = False
+     ",control_flow
"- for i in range(1, len(S)-1):
+ for i in range(1, len(S)):",expression
"- 
+ count = 0",assignment
- print(H),call
"- 	a,b = map(int,input())
+ 	a,b = map(int,input().split())",call
+     AB.sort(),call
"+ 
+ print(m)",call
"-     print(sorted(range(N),key=lambda k : S[k])[i])
+     print(sorted(range(N),key=lambda k : S[k])[i]+1)",expression
+     break,control_flow
"- al_set = {i for i in range(N)}
+ al_set = {i for i in range(1, N+1)}",call
"+ if H > 0:
- cnt += ceil(H, maxA)
+   cnt += ceil(H, maxA)",control_flow
"-     ans = B - A
+     ans = abs(A - B)",call
- print(A),call
"- print(a[0]*2+a[1])
+ print(a[0]+a[1])",expression
- print(a),call
"-     print(a_list)
- 
- 
- 
- ",call
"+ 
+ print(count)",call
-         print(sevens),call
"-                 result_list.append(self.alphabet[tmp])
+                 result_list.append(self.alphabet[abs(tmp)-1])",call
"- if x == 3 | x == 5 | x == 7:
+ if (x == 3) | (x == 5) | (x == 7):",control_flow
"- 		print(i)
+ 		#print(i)",call
"-     print(3**n-1)
+     print(n**3)",expression
- print(lcm),call
"- m //= 60
+ x //= 60",identifier
"-             return good_dfs(D[gi],d-1,sdis)
+             return good_dfs(gi,d-1,sdis)",call
"- print(p, x)
+ print(x)",call
"- ans = 3 * (r ^ 2)
+ ans = 3 * (r * r)
+ print(ans)",call
"+         
+ print(ans)",call
- print(b_list),call
"- for i in range(1, len(y)-1):
+ for i in range(1, len(y)):",expression
"-         if(i%3!=0 or i%5!=0):
+         if(i%3!=0 and i%5!=0):",control_flow
"- elif 0<=L and L>-N:
+ elif L<=0 and L>-N:",control_flow
"-   s0 = s[0:int((n//2)-1)]
+   s0 = s[0:int(n//2)]",call
"-     print(*[A-K+B,B])
+     print(*[A-K,B])",expression
-     print(l),call
- print(cs),call
-             print(i),call
"- print(m.ceil(a + b) / 2)
+ print(m.ceil((a + b) / 2))",call
"- print(l2)
+ #print(l2)",call
"-     candidate = set(""3"",""5"",""7"")
+     candidate = set([""3"",""5"",""7""])
+ ",call
"- for i in range(N+1):
+ for i in range(N):
-     print(res[i])
+     print(res[i+1])",expression
"-     for j in range(i-1, 0, -1):
+     for j in range(i, 0, -1):",expression
- print(L),call
"- for i in range(1,n-1):
+ for i in range(1,n):",expression
"- for i in range(1,1000):
+ for i in range(1000):",call
"- print(''.join(x[::-1]) + s + ''.join(y))
+ s = ''.join(x[::-1]) + s + ''.join(y)",call
"-         ans = min(ans, abs(s[id-1] - s[-1]))
+         ans = min(ans, abs(s[id-1]*2 - s[-1]))",assignment
- print(s_list),call
"- elif a > b:
+ elif a > b or n == 1:",control_flow
"- print(x,y)
+ ",call
"- s,t=map(str,input.split())
+ s,t=map(str,input().split())",call
+ S = input(),assignment
"- for i in lst:
+ for i in range(N):",call
"+     else:
+       break",control_flow
"- print(X-A%B)
+ print((X-A)%B)",call
"-  
-     print(U)",call
"- print(R-L+1)
+ print(max(R-L+1,0))",call
"- import colections
+ import collections",identifier
"- print(*input(),sep=',')
+ print(*input().split(','))",call
"-       for j in range(1,len(t)):
+       for j in range(len(t)):",call
"-         m.append(i*j)
+         m.append(i*j%2019)",expression
"- if ea==sb==easb: tot-=1
+ if ea==sb==easb and easb>0: tot-=1",control_flow
"- if s[:N//2] == s[N//2+1:]:
+ if s[:N//2] == s[N//2:]:",expression
"- 
+     
+     
+             continue
+             continue",control_flow
"- A, B, C = map(int, input.split())
+ A, B, C = map(int, input().split())",call
"-     ans2 += (i-average)**2
+     ans2 += (i-average-1)**2",expression
"-     if i%3!=0 or i%5!=0:
+     if i%3!=0 and i%5!=0:
+       
+ print(""APPROVED"")
- print(""APPROVED"")",control_flow
"-   print(""0 "" + str(B - K))
+   print(""0 "" + str(A + B - K))",expression
"- if i == 1:
+ if i == 1 and n == 1:",control_flow
"- print(list)
+ print(*list)",call
- print(b),call
"-     remain = m - ans
+     remain = m - ans*2
+ ",assignment
"+ if A <= C <= B:
- if C >= A:
-     if C <= B:
-         print('Yes')
+     print('Yes')",control_flow
"- s=list(input())
+ s = list(input())
+ 
+ 
-     A=s.count('A')
+     A = s.count('A')
-     C=s.count('C')
+     C = s.count('C')
-     G=s.count('G')
+     G = s.count('G')
-     T=s.count('T')
+     T = s.count('T')
-     if A+C+G+T==len(s):
+     if A+C+G+T == len(s):
+ 
- ans=0
+ ans = 0
- n=len(s)
+ n = len(s)
-     for j in range(i+1,n):
+     for j in range(i, n):
-         tempstring=s[i:j+1]
+         tempstring = s[i:j+1]
-             ans=max(ans,len(tempstring))
+             ans = max(ans, len(tempstring))",expression
-     print(i),call
"- elif 1<=mozi_1<=12 and 13<=mozi_2<=99 or mozi_2==0:print(""MMYY"")
+ elif 1<=mozi_1<=12 and (13<=mozi_2<=99 or mozi_2==0):print(""MMYY"")
- elif 1<=mozi_2<=12 and 13<=mozi_1<=99 or mozi_1==0:print(""YYMM"")
+ elif 1<=mozi_2<=12 and (13<=mozi_1<=99 or mozi_1==0):print(""YYMM"")",control_flow
"- for i in range(a,max(c,d)+1):
+ for i in range(a,max(c,d)):
-     for i in range(b,d+1):
+     for i in range(b-1,d):",expression
"- for i in range(K, N-K+1):
+ for i in range(K, N+1):",expression
"+         break
+             break",control_flow
"-  
+ 
-  
+ 
- 	score[dat] = score[dat] + k + 1
+ 	score[dat] = score[dat] + 1
-  
+ ",expression
"-     print(b**3+a)
+     print(b**3+a**3)",expression
"- print(2**count)
+ print(2**count -1)",expression
"-   if h[i] << 4:
+   if h[i] <= 3:",control_flow
"-   print(s[:k+1]+'...')
+   print(s[:k]+'...')",expression
"- print(a+b)
+ print(1000*a+5*b)",expression
"- print(cost)
+ # print(cost)",call
+         exit(),call
"- print((a+b)*2)
+ print (a * b,(a + b) * 2)",call
"-     t -= 180
+     t = 360 - t",assignment
"-   if X <= Y:
+   if X*2 <= Y:",control_flow
"+ 
+ print(S)",call
"- if C1>=C2:
+ if C2>=C1:",control_flow
"- for i in range(1,n):
+ for i in range(n):
-     for j in range(i,n):
+     for j in range(i+1,n):",call
"-     b = int(b * 100)
+     b = int(b * 100 + 0.5)",assignment
"- for i in range(X+1, 2 * X):
+ for i in range(X, 2 * X):",expression
"- 	print(result)
+ 	# print(result)",call
"+  
- for i in range(1,min(a,b)+1)[::1]:
+ for i in range(1,min(a,b)+1)[::-1]:
-     if count==k:
+   if count==k:
-       num=i
+     num=i
-       break
+     break
-  
+   ",expression
"- ans-=min(k,c)*(-1)
+ ans+=min(k,c)*(-1)",expression
"- 		total+=max(a[i]-x//f[i])
+ 		total+=max(0,a[i]-x//f[i]) #負になりうる懸念ができていなかった、とほほ",call
- 		print(tmp),call
"- m, n = map(int, input().split())
+ n, m = map(int, input().split())
- 			return",control_flow
"+ 
+ print(ans)",call
-     return,control_flow
"- print(nums)
+ #print(nums)",call
"- for i in range(0, len(s[0]) + 1, num ):
+ for i in range(0, len(s[0]), num):",expression
"-     print(ma)
+     print(ma + 1)",expression
"- c=input
+ c=input()",call
"- for i in range(a+1):
+ for i in range(a):",expression
"+ 
+ print(taps)",call
+ res=0,assignment
"-      if a.islower() == 0:
+      if a.islower() == True:",control_flow
"-         ans *= (sosuu*cnt)
+         ans *= (sosuu**cnt)",expression
"- elif s == ""RRS"" or ""SRR"":
+ elif s == ""RRS"" or s ==  ""SRR"":",control_flow
"- print(A)
+ ",call
"+ else:
+     p = []",assignment
+ input(),call
+         break,control_flow
"- n = list(int(map(int,input().split()))) 
+ n = list(map(int,input().split()))",call
"- 
+  
- 
+  
- 
+  
- print(min(res, N))
+ print(min(res, N-1))",expression
- print(modlist),call
"- 
- 
+ data.add(s)",call
"-     print(A)    
+     print(A*N)",expression
"- n=int(input())
+ n=int(input())%10
- 
+  ",assignment
"+ 
- dp = [2 ** 32] * (N + 1)
+ dp = [2 ** 32] * N
- print(dp[N])
+ print(dp[N-1])
- ",expression
"- if 7 in number:
+ if '7' in number:",control_flow
"+ 
+ ll.sort()",call
"- a,b,c,d=map(int,input().split)
+ a,b,c,d=map(int,input().split())",call
- print(str_list),call
"-   print(2**m)
+   print(2**(m-1))",call
"-   print(a-1)
+   print(a-1,b)
-   print(b-1)
+   print(a,b-1)",call
"-   
+ 
- 
+     
-         print(total)",call
+ num = input(),assignment
"- 
- print(nl)",call
-     print(A),call
"-   score=a[i]*b
+   score+=a[i]*b",assignment
"- N = ()
+ N = I()",call
"- for k in range(0,z+1,2):
+ for k in range(0,z+1):",call
"- for x in range(1, X):
+ for x in range(X+1):",call
